     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
V13  40   X  27  37   X   X  39   X   X   X   X   X   X   X  77  39   X  31   X  18   X   X  19   X   X 
V14   X  63  19   X   X   X   X   X   X   X  11   X   X  77   X   X  68   X   X   X   X  66   X   X   X 
V15   X   X   X   X   X   X  54  22  74   X   X   X  95  39   X   X  30   X   X  36   X   X   X  36   X 
V16   X   X  12   8   X  11   X   X   X   X  90   X   X   X  68  30   X   X  36   X  50  74   X   X  37 
V17  81   X   X   X   X  82  91   X   X   X   X  38   X  31   X   X   X   X   X   X   X   X   X  76   X 
V18   X  96  16   X  42   X   X  77   X   X  79   X 100   X   X   X  36   X   X   X   X   X   X   X  43 
V19   X   X   X  46   X   X   X  80  35   X   X  97   X  18   X  36   X   X   X   X  93   X  78   X  76 
V20   X   X   X  97  28  38   X   X   8   2   X   X   X   X   X   X  50   X   X  93   X   X  49   X  41 
V21   X   X  52  63  17   X   X   X   X   X   X  20  55   X  66   X  74   X   X   X   X   X  42   X   X 
V22   X   X   X   X  50   X   X   X   X   X   X  56   X  19   X   X   X   X   X  78  49  42   X   X  37 
V23   X   X   X   X   X   X   X   X   X   X  15   X  61   X   X  36   X  76   X   X   X   X   X   X   X 
V24   X  16   3  67   X  71   X   X  76  95   X   X   X   X   X   X  37   X  43  76  41   X  37   X   X 
(V20-V9,2)(V2-V24,3)(V3-V2,4)(V9-V4,5)(V10-V11,7)(V3-V16,8)(V20-V8,8)(V16-V5,11)(V10-V14,11)(V3-V7,14)(V9-V2,15)(V23-V10,15)(V18-V2,16)(V24-V1,16)(V12-V2,16)(V21-V4,17)(V13-V19,18)(V14-V2,19)(V13-V22,19)(V12-V0,20)(V7-V15,22)(V2-V13,27)(V17-V13,31)(V6-V9,35)最小生成树总权值为359
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X  81   X  99   X  95  77   X   X   X  14   X   X   X   X   X  54  87  59   X  33   X   X 
 V1   X   X  93   X   X   X  60   X   1  16   X   X   X   X  25  30   X   X   X   X  78   X   X  35  26 
 V2   X  93   X  51  88  93   X   X   X   X  95  49   X   X   X   X   X   X   X   X   X   X   9  45   X 
 V3  81   X  51   X   X   X  57   X  34   X   X   X  21   2  77   X  27  56  99  90  20   X   X  75   X 
 V4   X   X  88   X   X   X   X   X   X  96   X   X  46   X   X   X   X   X   1   X   X  49   X   X   X 
 V5  99   X  93   X   X   X  42   X   X   X   X   X   X   X   X  10   X   X   X   X   X   X   X  58  77 
 V6   X  60   X  57   X  42   X  73   X  70   X   8   X   X   X   X  19  68   X   X   X   X  44 100   X 
 V7  95   X   X   X   X   X  73   X  65   X   X   X  57  87   X   X   X   4   X   X   X   X   X  24  10 
 V8  77   1   X  34   X   X   X  65   X   1  18   X  77   X   X  74   X  15  29   X  53   X   X   X   4 
 V9   X  16   X   X  96   X  70   X   1   X   X  57   X   X  26   X   X  69   X  18   X   X   X  87   X 
V10   X   X  95   X   X   X   X   X  18   X   X   X   X   X   X   X   X   X   X  11  42  34   X   X   X 
V11   X   X  49   X   X   X   8   X   X  57   X   X   X   X  11   X   X   X   X   8   X   X  73 100   X 
V12  14   X   X  21  46   X   X  57  77   X   X   X   X   1  18   X  68  33   X   X   X   X   X  44  93 
V13   X   X   X   2   X   X   X  87   X   X   X   X   1   X   X   X   X   X   X   X   X   X   X   X   X 
V14   X  25   X  77   X   X   X   X   X  26   X  11  18   X   X   X  62   X   X   X   X   X  72   X  62 
V15   X  30   X   X   X  10   X   X  74   X   X   X   X   X   X   X   X   X  94   X   X   X   X  31   X 
V16   X   X   X  27   X   X  19   X   X   X   X   X  68   X  62   X   X   X   9   X   X   X   X   X   X 
V17   X   X   X  56   X   X  68   4  15  69   X   X  33   X   X   X   X   X   X   X   X   X   X  97   X 
V18  54   X   X  99   1   X   X   X  29   X   X   X   X   X   X  94   9   X   X  55   X   X  80   2   X 
V19  87   X   X  90   X   X   X   X   X  18  11   8   X   X   X   X   X   X  55   X   X  60   X  54  66 
V20  59  78   X  20   X   X   X   X  53   X  42   X   X   X   X   X   X   X   X   X   X   X   X   X   X 
V21   X   X   X   X  49   X   X   X   X   X  34   X   X   X   X   X   X   X   X  60   X   X   X   X  19 
V22  33   X   9   X   X   X  44   X   X   X   X  73   X   X  72   X   X   X  80   X   X   X   X  24  37 
V23   X  35  45  75   X  58 100  24   X  87   X 100  44   X   X  31   X  97   2  54   X   X  24   X  16 
V24   X  26   X   X   X  77   X  10   4   X   X   X  93   X  62   X   X   X   X  66   X  19  37  16   X 
(V13-V12,1)(V8-V1,1)(V8-V9,1)(V18-V4,1)(V13-V3,2)(V18-V23,2)(V17-V7,4)(V8-V24,4)(V6-V11,8)(V11-V19,8)(V22-V2,9)(V16-V18,9)(V15-V5,10)(V7-V24,10)(V14-V11,11)(V19-V10,11)(V12-V0,14)(V24-V23,16)(V12-V14,18)(V10-V8,18)(V21-V24,19)(V20-V3,20)(V22-V23,24)(V15-V1,30)最小生成树总权值为251
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X   X   X  71  31   X   X   X   X  56  70   X  79   5  85   4   X 100   X   X  89   X 
 V1   X   X   X  73   X  21   X   X   X   X   X   X   X  59   X   X   X   2  54   X   X   X   X   X   X 
 V2   X   X   X   X   X   X  83  90  53   X   X   X   X  76   X   X   X   X   X   X   6   X  89  21   X 
 V3   X  73   X   X   X  96   X  85   X   X   X  72  69   X   X   X  72   X  29   X   X   X   X   X  29 
 V4   X   X   X   X   X   X  23   X   X   X   X   X   X   X  44   X   X   X   X   X   X   X   X   X  31 
 V5   X  21   X  96   X   X  20   X  41   X   X   X   X  14   X  20  70  71   X   X  50   X   X  21   X 
 V6  71   X  83   X  23  20   X   X  28   X   X   X   X  96  89   X  31   X   X   X   X  89   X  91   X 
 V7  31   X  90  85   X   X   X   X  25   X   X   X   X 100   X   X  85  68   X   X  30   X  73  32   X 
 V8   X   X  53   X   X  41  28  25   X  26   7   X  48   X  50   X   X  30   X   X  33   X   X   X   X 
 V9   X   X   X   X   X   X   X   X  26   X   X  10   X  32  23   X   X   X   X   X   X   X  52   X   X 
V10   X   X   X   X   X   X   X   X   7   X   X   X   X  10   X   X   X   X   X  34   X  72   X   X   2 
V11   X   X   X  72   X   X   X   X   X  10   X   X  27  99   X   X   X  36   X   X   9  85   X  95   X 
V12  56   X   X  69   X   X   X   X  48   X   X  27   X   X   X   X   X   X   X   X   X   X   X  38  55 
V13  70  59  76   X   X  14  96 100   X  32  10  99   X   X   X   X   X   X   X   X  17  69  21  28  44 
V14   X   X   X   X  44   X  89   X  50  23   X   X   X   X   X   X   X  25   X   X  37  38   X   X   X 
V15  79   X   X   X   X  20   X   X   X   X   X   X   X   X   X   X  19   X   X   X  59  74   X   X   X 
V16   5   X   X  72   X  70  31  85   X   X   X   X   X   X   X  19   X   2  63  27  22   X  99   X   X 
V17  85   2   X   X   X  71   X  68  30   X   X  36   X   X  25   X   2   X   X   X  18   X   X   X  46 
V18   4  54   X  29   X   X   X   X   X   X   X   X   X   X   X   X  63   X   X  33   X  29  44   X   X 
V19   X   X   X   X   X   X   X   X   X   X  34   X   X   X   X   X  27   X  33   X  90   X   X   X  69 
V20 100   X   6   X   X  50   X  30  33   X   X   9   X  17  37  59  22  18   X  90   X   X  98   X  82 
V21   X   X   X   X   X   X  89   X   X   X  72  85   X  69  38  74   X   X  29   X   X   X   X   X   X 
V22   X   X  89   X   X   X   X  73   X  52   X   X   X  21   X   X  99   X  44   X  98   X   X   X   X 
V23  89   X  21   X   X  21  91  32   X   X   X  95  38  28   X   X   X   X   X   X   X   X   X   X   X 
V24   X   X   X  29  31   X   X   X   X   X   2   X  55  44   X   X   X  46   X  69  82   X   X   X   X 
(V17-V16,2)(V24-V10,2)(V1-V17,2)(V0-V18,4)(V0-V16,5)(V20-V2,6)(V8-V10,7)(V20-V11,9)(V11-V9,10)(V13-V10,10)(V13-V5,14)(V20-V13,17)(V17-V20,18)(V16-V15,19)(V6-V5,20)(V23-V2,21)(V13-V22,21)(V9-V14,23)(V4-V6,23)(V8-V7,25)(V16-V19,27)(V12-V11,27)(V18-V3,29)(V21-V18,29)最小生成树总权值为370
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  40  37   X   X   X  67   X   X   X   X   X  96   X  30  66   X   X  60   X   X  61   5   X  14 
 V1  40   X   9   X   X   X   X   X   X   X   X   X   X   X   X  86   X  94   X  62  75  36   X   X   X 
 V2  37   9   X   X  97   X   X  60   X   X  54   X   X   X   X   X  40  46  64  26   X  97   X  52   X 
 V3   X   X   X   X  97  95  38   X   X   X  53   X  74  40   X   X   X   X   X  82   X   X   9   X  95 
 V4   X   X  97  97   X   X   X  27   X   X   X   X   X   X   X   X  74  54  29  54  65  21   X   X   X 
 V5   X   X   X  95   X   X   X   X   X  56  44   X   X   X   X  86   X   X   X  90   X   X   X   X   X 
 V6  67   X   X  38   X   X   X   X  59  37   X   X   X   X   X   X   X   X   X  74   7   X  85  81  66 
 V7   X   X  60   X  27   X   X   X   X  74   X  30  91  10   X   X   X   X   X   X  47   X   X   X  72 
 V8   X   X   X   X   X   X  59   X   X   X   7   X  69  84   X   X   X   X  30   X  67  31   X   X   X 
 V9   X   X   X   X   X  56  37  74   X   X  95  71   X   X   X   X   X   X  69   X  19   X   X  28   X 
V10   X   X  54  53   X  44   X   X   7  95   X   X  68   X  47   X   X  41  56  31   X   X   X   X  67 
V11   X   X   X   X   X   X   X  30   X  71   X   X  40   X   X   X   X   X   X   X   X  20   X   X   X 
V12  96   X   X  74   X   X   X  91  69   X  68  40   X   X   X   X   X   X  13   X  50  68   X   X   X 
V13   X   X   X  40   X   X   X  10  84   X   X   X   X   X   X   X   X   X  24   X   X   X   X  79  33 
V14  30   X   X   X   X   X   X   X   X   X  47   X   X   X   X  63  58   X   X   X  98   X   X   X  40 
V15  66  86   X   X   X  86   X   X   X   X   X   X   X   X  63   X   X   X   X   X   X  59   X   X  30 
V16   X   X  40   X  74   X   X   X   X   X   X   X   X   X  58   X   X   X   X  99  71  11   X   X  55 
V17   X  94  46   X  54   X   X   X   X   X  41   X   X   X   X   X   X   X   X  47   X   X   X   X   X 
V18  60   X  64   X  29   X   X   X  30  69  56   X  13  24   X   X   X   X   X  28   X   X   X  59   X 
V19   X  62  26  82  54  90  74   X   X   X  31   X   X   X   X   X  99  47  28   X   X  96   X   X   X 
V20   X  75   X   X  65   X   7  47  67  19   X   X  50   X  98   X  71   X   X   X   X   X   X   X  76 
V21  61  36  97   X  21   X   X   X  31   X   X  20  68   X   X  59  11   X   X  96   X   X  32   X   X 
V22   5   X   X   9   X   X  85   X   X   X   X   X   X   X   X   X   X   X   X   X   X  32   X   X   8 
V23   X   X  52   X   X   X  81   X   X  28   X   X   X  79   X   X   X   X  59   X   X   X   X   X   X 
V24  14   X   X  95   X   X  66  72   X   X  67   X   X  33  40  30  55   X   X   X  76   X   8   X   X 
(V0-V22,5)(V10-V8,7)(V6-V20,7)(V22-V24,8)(V2-V1,9)(V3-V22,9)(V7-V13,10)(V21-V16,11)(V12-V18,13)(V20-V9,19)(V11-V21,20)(V21-V4,21)(V13-V18,24)(V19-V2,26)(V4-V7,27)(V9-V23,28)(V18-V19,28)(V24-V15,30)(V14-V0,30)(V18-V8,30)(V21-V22,32)(V6-V3,38)(V17-V10,41)(V10-V5,44)最小生成树总权值为517
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  68  84   X  55   X  19  16   X   X  66   X  39   X   X   X   X   X  76  89   X   X   X   X   X 
 V1  68   X   X  89  42  69   X   X   X  27   X  82   X   X   X   X   X   X   X   X   X  85   X   X   X 
 V2  84   X   X   X   X   X  64  33   X   X   X  65   X   X   X   X  66  96  51   X  17   X   X   X   X 
 V3   X  89   X   X  26  51   X   X   X   X  16   X   X   X   X   7   9   X   X   X   X  55   X   X   1 
 V4  55  42   X  26   X   X   X   X   X   X  31   X   X  54   2   X  60  48   X   X  66   X  12   X   9 
 V5   X  69   X  51   X   X  77   X   X  70   X   X   X   X   X   1   X  82  59   X   X  97  32  66   X 
 V6  19   X  64   X   X  77   X   X  63   X   X   X   X   X   X  36   X  54  23   X   X   X   1   X   X 
 V7  16   X  33   X   X   X   X   X   X   X   X   X  12  82   X   X  23   X   X   X   X  15   X   X   X 
 V8   X   X   X   X   X   X  63   X   X   4   X  70   X   X  87  97   X   X   X  95   X   X   X   X   X 
 V9   X  27   X   X   X  70   X   X   4   X   X   X   X   X   X  13   X   X   X  75   X  36   X   X   X 
V10  66   X   X  16  31   X   X   X   X   X   X   X   X  45   X  44   X   X   X   X   X  63  18   X   X 
V11   X  82  65   X   X   X   X   X  70   X   X   X   X  75   X  75  65   X   X   X  49   X  53  26   X 
V12  39   X   X   X   X   X   X  12   X   X   X   X   X  65  63  18  13   X   X   X   X   X   X  63  37 
V13   X   X   X   X  54   X   X  82   X   X  45  75  65   X   X  94   X   X   X   X   X   X   X   X  84 
V14   X   X   X   X   2   X   X   X  87   X   X   X  63   X   X   X   X  95   X   X  64   X   X   X  19 
V15   X   X   X   7   X   1  36   X  97  13  44  75  18  94   X   X   X  89   X   X  55   X   X   X   X 
V16   X   X  66   9  60   X   X  23   X   X   X  65  13   X   X   X   X   X  85   X   X  66  87  37   X 
V17   X   X  96   X  48  82  54   X   X   X   X   X   X   X  95  89   X   X   X   X   X  34  74  10  32 
V18  76   X  51   X   X  59  23   X   X   X   X   X   X   X   X   X  85   X   X   X   X   X   X   X   X 
V19  89   X   X   X   X   X   X   X  95  75   X   X   X   X   X   X   X   X   X   X   X  87  60  93  83 
V20   X   X  17   X  66   X   X   X   X   X   X  49   X   X  64  55   X   X   X   X   X  61   X  85   X 
V21   X  85   X  55   X  97   X  15   X  36  63   X   X   X   X   X  66  34   X  87  61   X   X   X  61 
V22   X   X   X   X  12  32   1   X   X   X  18  53   X   X   X   X  87  74   X  60   X   X   X   X   X 
V23   X   X   X   X   X  66   X   X   X   X   X  26  63   X   X   X  37  10   X  93  85   X   X   X   X 
V24   X   X   X   1   9   X   X   X   X   X   X   X  37  84  19   X   X  32   X  83   X  61   X   X   X 
(V15-V5,1)(V22-V6,1)(V3-V24,1)(V14-V4,2)(V8-V9,4)(V15-V3,7)(V24-V4,9)(V3-V16,9)(V23-V17,10)(V12-V7,12)(V22-V4,12)(V16-V12,13)(V15-V9,13)(V21-V7,15)(V7-V0,16)(V3-V10,16)(V2-V20,17)(V6-V18,23)(V23-V11,26)(V1-V9,27)(V17-V24,32)(V7-V2,33)(V13-V10,45)(V22-V19,60)最小生成树总权值为404
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   6  72   X   X   X  80   X  32   X   X   X   X   X  17   X   X   X  96   X  73   X  53 
 V1   X   X  52  20   X   X   X   X   X   X   X   X  90   X  64   X  65   X  76   X  57   X   X   X   X 
 V2   X  52   X  25  80   X   X  50  63  88  35   X  72   X   X  68   X   X   X   X   X  51   X   X   8 
 V3   6  20  25   X  49   X   X  96  34   X   X  18   X   X  72   X   X   X   X   X   X  45   X   X   X 
 V4  72   X  80  49   X   X  14   X   X   X  86   X   X   X  30   X   X  22   X  59   X  81   X  88   X 
 V5   X   X   X   X   X   X   X   X  67   X   X   X  75   X   X  71   X  48  57   X   X  70   X   X   X 
 V6   X   X   X   X  14   X   X  28  51   X  13   X  67   X   X  12  61   X   X   X  43  67   X   X   X 
 V7   X   X  50  96   X   X  28   X   X   X   X   X   X   X   X   X   X   X  25   X   X   X  11   X  12 
 V8  80   X  63  34   X  67  51   X   X  12   X   X   X   X   X  30   X   X   X   X  38  17  74   X   X 
 V9   X   X  88   X   X   X   X   X  12   X   X   X   X  97  22   X  87  82   X   X  71  57   X   X  89 
V10  32   X  35   X  86   X  13   X   X   X   X   X   X  59  35   X   X   X   X  68   X   X  40   X   X 
V11   X   X   X  18   X   X   X   X   X   X   X   X   X   X   X   2   X   X  34  12   X  33   X   X   X 
V12   X  90  72   X   X  75  67   X   X   X   X   X   X   X   X   X   X   X   X   X   X  92   X   X   X 
V13   X   X   X   X   X   X   X   X   X  97  59   X   X   X   X   X   X  66  11   X   X  33  29   X   X 
V14   X  64   X  72  30   X   X   X   X  22  35   X   X   X   X  28   X   X   X  24  46   X  29   X   X 
V15   X   X  68   X   X  71  12   X  30   X   X   2   X   X  28   X  67  79  74  23   X  98   X   X   X 
V16  17  65   X   X   X   X  61   X   X  87   X   X   X   X   X  67   X   X  25   X  97   X   X   X   X 
V17   X   X   X   X  22  48   X   X   X  82   X   X   X  66   X  79   X   X  75   X   X   X  50   X   X 
V18   X  76   X   X   X  57   X  25   X   X   X  34   X  11   X  74  25  75   X   X  28   X  89   X   X 
V19   X   X   X   X  59   X   X   X   X   X  68  12   X   X  24  23   X   X   X   X   X  43  22   X   X 
V20  96  57   X   X   X   X  43   X  38  71   X   X   X   X  46   X  97   X  28   X   X   X   3  48  32 
V21   X   X  51  45  81  70  67   X  17  57   X  33  92  33   X  98   X   X   X  43   X   X   X   X   X 
V22  73   X   X   X   X   X   X  11  74   X  40   X   X  29  29   X   X  50  89  22   3   X   X   X   X 
V23   X   X   X   X  88   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X  48   X   X   X   X 
V24  53   X   8   X   X   X   X  12   X  89   X   X   X   X   X   X   X   X   X   X  32   X   X   X   X 
(V11-V15,2)(V20-V22,3)(V3-V0,6)(V2-V24,8)(V7-V22,11)(V18-V13,11)(V15-V6,12)(V9-V8,12)(V7-V24,12)(V11-V19,12)(V6-V10,13)(V6-V4,14)(V8-V21,17)(V16-V0,17)(V11-V3,18)(V1-V3,20)(V14-V9,22)(V22-V19,22)(V4-V17,22)(V14-V19,24)(V7-V18,25)(V5-V17,48)(V23-V20,48)(V6-V12,67)最小生成树总权值为466
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   3  13   X   X   X  38   X  51   X   X   X   X   X   X  68   X   X  18   X   X  86  97  75 
 V1   X   X   X   1   X   X  39   X   X   X  20  81  52  46  16   X  46   X   X   X   X   X   X  39   X 
 V2   3   X   X   X   X   X  14  43   X   X   X   X   X   X  32   X  73   X   X   X  72   X   X   X   X 
 V3  13   1   X   X   X  37   X   X  95   X  76   9   X  70   X   X   X   X   X   X  86   X  27   X   X 
 V4   X   X   X   X   X   X   X   X   X  72  25   X  78  61   X   X  78   X   X   X   X  43   X  76   8 
 V5   X   X   X  37   X   X   X  80  27   3  74   X  79   X  88   X   9   X   X   X  40   X   X   X  63 
 V6   X  39  14   X   X   X   X  49   X   X   X   X   X   X   X  67   X  53  40   X   X  98   X   X   X 
 V7  38   X  43   X   X  80  49   X   X  37   X   X   X   X   X   X  85   X   X   X   X   X  34  14   X 
 V8   X   X   X  95   X  27   X   X   X   X   6  56   X   X   X   X   X   X  39  89   X   X   X   X   X 
 V9  51   X   X   X  72   3   X  37   X   X   X   X   X   X 100   X   X  98   X   X   X  85   X  71  73 
V10   X  20   X  76  25  74   X   X   6   X   X   X  83  44   X   X  53  88   X   X   X   X   X   X  34 
V11   X  81   X   9   X   X   X   X  56   X   X   X  36   X   X  72   X  86   X   X   X   X  91   X  55 
V12   X  52   X   X  78  79   X   X   X   X  83  36   X   X   X   X   X   X  43   X   X   X   X   X   X 
V13   X  46   X  70  61   X   X   X   X   X  44   X   X   X   X  42   X   X   X   X  78   X  49   X   5 
V14   X  16  32   X   X  88   X   X   X 100   X   X   X   X   X   X   X   X   X   X  33  53   X   X   X 
V15   X   X   X   X   X   X  67   X   X   X   X  72   X  42   X   X  74   X  74   X  91   X   X   X   X 
V16  68  46  73   X  78   9   X  85   X   X  53   X   X   X   X  74   X   X   3   X   X   X   X  89   X 
V17   X   X   X   X   X   X  53   X   X  98  88  86   X   X   X   X   X   X   X   X  35  97   2   X  38 
V18   X   X   X   X   X   X  40   X  39   X   X   X  43   X   X  74   3   X   X   X  97   X   X  43  36 
V19  18   X   X   X   X   X   X   X  89   X   X   X   X   X   X   X   X   X   X   X   X   X  85   X   6 
V20   X   X  72  86   X  40   X   X   X   X   X   X   X  78  33  91   X  35  97   X   X   X   X   1   X 
V21   X   X   X   X  43   X  98   X   X  85   X   X   X   X  53   X   X  97   X   X   X   X  33   X 100 
V22  86   X   X  27   X   X   X  34   X   X   X  91   X  49   X   X   X   2   X  85   X  33   X  36   X 
V23  97  39   X   X  76   X   X  14   X  71   X   X   X   X   X   X  89   X  43   X   1   X  36   X   X 
V24  75   X   X   X   8  63   X   X   X  73  34  55   X   5   X   X   X  38  36   6   X 100   X   X   X 
(V23-V20,1)(V3-V1,1)(V17-V22,2)(V0-V2,3)(V5-V9,3)(V18-V16,3)(V24-V13,5)(V10-V8,6)(V19-V24,6)(V4-V24,8)(V3-V11,9)(V5-V16,9)(V3-V0,13)(V2-V6,14)(V23-V7,14)(V14-V1,16)(V0-V19,18)(V1-V10,20)(V22-V3,27)(V8-V5,27)(V14-V20,33)(V22-V21,33)(V11-V12,36)(V13-V15,42)最小生成树总权值为349
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
